id,country,budget_surplus_deficit
237,Macau,30.5
158,Kuwait,29.2
64,"Congo, Republic of the",14
68,Norway,13.1
173,Brunei,9.8
166,Qatar,9.1
13,Saudi Arabia,6.2
115,United Arab Emirates,5
212,Saint Kitts and Nevis,4.8
214,Saint Pierre and Miquelon,4.6
175,French Polynesia,3.9
152,Belize,3.5
23,Angola,3.4
144,Solomon Islands,2.5
162,Montenegro,2.2
243,Gibraltar,2.1
28,Bolivia,2
199,Seychelles,2
12,Greenland,1.9
184,Hong Kong,1.8
5,Brazil,1.6
191,"Micronesia, Federated States of",1.5
228,Guernsey,1.2
53,Turkmenistan,1.1
20,Peru,1
215,Cook Islands,1
59,Iraq,0.9
77,Gabon,0.7
192,Singapore,0.7
109,"Korea, South",0.7
48,Botswana,0.6
113,Azerbaijan,0.5
194,Isle of Man,0.5
26,Colombia,0.4
217,Marshall Islands,0.4
180,Comoros,0.4
164,Vanuatu,0.3
96,Tajikistan,0.2
146,Equatorial Guinea,0.2
136,Switzerland,0.2
63,Germany,0.1
70,Poland,0
220,British Virgin Islands,0
204,Saint Vincent and the Grenadines,0
190,Tonga,0
86,Belarus,-0.2
124,Latvia,-0.2
98,Nicaragua,-0.3
143,Armenia,-0.3
196,Andorra,-0.3
99,"Korea, North",-0.4
57,Uzbekistan,-0.4
225,Jersey,-0.4
17,Libya,-0.5
1,Russia,-0.5
133,Estonia,-0.5
29,Mauritania,-0.6
24,Mali,-0.7
201,Antigua and Barbuda,-0.8
200,Curacao,-0.9
142,Lesotho,-0.9
38,Chile,-1
159,Swaziland,-1.1
250,Monaco,-1.3
71,Oman,-1.3
102,Benin,-1.3
6,Australia,-1.3
100,Malawi,-1.4
151,Djibouti,-1.4
108,Iceland,-1.5
60,Paraguay,-1.6
219,Liechtenstein,-1.6
84,Laos,-1.6
160,Timor-Leste,-1.6
179,Luxembourg,-1.7
73,Philippines,-1.8
174,Trinidad and Tobago,-1.8
138,Guinea-Bissau,-1.8
168,Jamaica,-1.8
140,Moldova,-1.9
76,New Zealand,-1.9
181,Mauritius,-1.9
56,Sweden,-2
123,Lithuania,-2
37,Turkey,-2.1
4,China,-2.1
47,Madagascar,-2.3
92,Suriname,-2.3
83,Romania,-2.3
10,Algeria,-2.3
65,Finland,-2.3
97,Greece,-2.3
9,Kazakhstan,-2.3
22,Niger,-2.4
105,Bulgaria,-2.4
137,Bhutan,-2.4
129,Bosnia and Herzegovina,-2.4
198,Palau,-2.4
74,Ecuador,-2.5
134,Denmark,-2.5
232,Bermuda,-2.5
14,Mexico,-2.5
139,Taiwan,-2.5
211,Cayman Islands,-2.5
118,Panama,-2.6
32,Nigeria,-2.6
157,Fiji,-2.6
91,Uruguay,-2.6
90,Cambodia,-2.7
121,Georgia,-2.7
193,Saint Lucia,-2.7
81,Uganda,-2.7
107,Guatemala,-2.7
27,Ethiopia,-2.8
116,Czech Republic,-2.8
104,Liberia,-2.9
110,Hungary,-2.9
114,Austria,-2.9
229,San Marino,-2.9
2,Canada,-2.9
195,Guam,-3
119,Sierra Leone,-3
51,Thailand,-3
132,Dominican Republic,-3
163,Puerto Rico,-3.1
141,Belgium,-3.2
75,Burkina Faso,-3.2
8,Argentina,-3.2
208,Malta,-3.3
147,Burundi,-3.3
72,Italy,-3.3
15,Indonesia,-3.3
131,Slovakia,-3.4
40,Burma,-3.4
69,Cote d'Ivoire,-3.4
11,"Congo, Democratic Republic of the",-3.5
126,Togo,-3.7
154,Israel,-3.7
106,Cuba,-3.7
188,Bahrain,-3.8
135,Netherlands,-3.8
3,United States,-4
43,France,-4
153,El Salvador,-4
167,"Gambia, The",-4
238,Tuvalu,-4
49,Kenya,-4.1
45,Central African Republic,-4.1
145,Albania,-4.2
150,Macedonia,-4.2
66,Vietnam,-4.2
149,Rwanda,-4.3
54,Cameroon,-4.3
127,Croatia,-4.4
16,Sudan,-4.4
67,Malaysia,-4.4
18,Iran,-4.5
55,Papua New Guinea,-4.6
87,Kyrgyzstan,-4.6
169,Kosovo,-4.6
25,South Africa,-4.8
95,Bangladesh,-4.9
227,Anguilla,-5
207,Grenada,-5
165,Falkland Islands (Islas Malvinas),-5
130,Costa Rica,-5
155,Slovenia,-5
79,Guinea,-5.1
111,Portugal,-5.1
46,Ukraine,-5.2
88,Senegal,-5.3
148,Haiti,-5.4
31,Tanzania,-5.6
171,Cyprus,-5.7
7,India,-5.7
21,Chad,-5.9
161,"Bahamas, The",-6
216,American Samoa,-6.1
178,Samoa,-6.1
117,Serbia,-6.2
103,Honduras,-6.2
94,Nepal,-6.2
122,Sri Lanka,-6.4
85,Guyana,-6.4
34,Namibia,-6.5
52,Spain,-6.8
202,Barbados,-7
120,Ireland,-7.2
80,United Kingdom,-7.4
218,Aruba,-7.5
93,Tunisia,-7.5
189,Dominica,-7.5
36,Pakistan,-7.7
197,Northern Mariana Islands,-7.9
58,Morocco,-8
89,Syria,-8
19,Mongolia,-8.1
62,Japan,-8.2
39,Zambia,-8.4
41,Afghanistan,-8.7
35,Mozambique,-8.8
170,Lebanon,-9.4
82,Ghana,-9.5
33,Venezuela,-9.8
176,Cabo Verde,-9.8
50,Yemen,-10.3
185,Sao Tome and Principe,-10.4
112,Jordan,-11.3
183,Faroe Islands,-11.9
210,Maldives,-12.3
213,Niue,-12.6
101,Eritrea,-13
30,Egypt,-13.3
172,West Bank,-16.6
187,Kiribati,-29.8
