id,country,merchant_marine
118,Panama,"6,413"
104,Liberia,"2,771"
4,China,"2,030"
208,Malta,"1,650"
184,Hong Kong,"1,644"
192,Singapore,"1,599"
217,Marshall Islands,"1,593"
15,Indonesia,"1,340"
201,Antigua and Barbuda,"1,257"
161,"Bahamas, The","1,160"
1,Russia,"1,143"
97,Greece,860
171,Cyprus,838
109,"Korea, South",786
135,Netherlands,744
62,Japan,684
72,Italy,681
37,Turkey,629
68,Norway,585
66,Vietnam,579
90,Cambodia,544
80,United Kingdom,504
73,Philippines,446
63,Germany,427
204,Saint Vincent and the Grenadines,412
3,United States,393
134,Denmark,367
51,Thailand,363
7,India,340
194,Isle of Man,321
67,Malaysia,315
243,Gibraltar,267
152,Belize,247
119,Sierra Leone,215
2,Canada,181
43,France,162
99,"Korea, North",158
212,Saint Kitts and Nevis,152
180,Comoros,149
121,Georgia,142
232,Bermuda,139
56,Sweden,135
46,Ukraine,134
52,Spain,132
140,Moldova,121
211,Cayman Islands,116
139,Taiwan,112
5,Brazil,109
202,Barbados,109
111,Portugal,109
65,Finland,97
31,Tanzania,94
113,Azerbaijan,90
32,Nigeria,89
103,Honduras,88
141,Belgium,87
164,Vanuatu,77
187,Kiribati,77
127,Croatia,77
18,Iran,76
13,Saudi Arabia,72
30,Egypt,67
250,Monaco,64
95,Bangladesh,62
115,United Arab Emirates,61
126,Togo,61
238,Tuvalu,58
19,Mongolia,57
33,Venezuela,53
14,Mexico,52
179,Luxembourg,49
74,Ecuador,44
189,Dominica,43
38,Chile,42
6,Australia,41
123,Lithuania,38
10,Algeria,38
136,Switzerland,38
183,Faroe Islands,37
8,Argentina,36
215,Cook Islands,35
158,Kuwait,34
120,Ireland,31
55,Papua New Guinea,31
170,Lebanon,29
40,Burma,29
166,Qatar,28
58,Morocco,26
133,Estonia,25
155,Slovenia,24
17,Libya,23
20,Peru,22
105,Bulgaria,22
122,Sri Lanka,21
89,Syria,19
60,Paraguay,19
210,Maldives,18
28,Bolivia,18
145,Albania,17
91,Uruguay,16
76,New Zealand,15
168,Jamaica,14
225,Jersey,14
176,Cabo Verde,13
175,French Polynesia,12
26,Colombia,12
112,Jordan,12
157,Fiji,11
131,Slovakia,11
36,Pakistan,11
9,Kazakhstan,11
53,Turkmenistan,11
124,Latvia,11
85,Guyana,10
173,Brunei,9
93,Tunisia,9
70,Poland,9
199,Seychelles,9
188,Bahrain,8
154,Israel,8
27,Ethiopia,8
190,Tonga,7
23,Angola,7
49,Kenya,5
71,Oman,5
50,Yemen,5
83,Romania,5
146,Equatorial Guinea,5
181,Mauritius,4
174,Trinidad and Tobago,4
82,Ghana,4
167,"Gambia, The",4
101,Eritrea,4
25,South Africa,3
156,New Caledonia,3
106,Cuba,3
114,Austria,3
191,"Micronesia, Federated States of",3
185,Sao Tome and Principe,3
16,Sudan,2
162,Montenegro,2
59,Iraq,2
35,Mozambique,2
108,Iceland,2
77,Gabon,2
178,Samoa,2
116,Czech Republic,1
44,Somalia,1
12,Greenland,1
88,Senegal,1
11,"Congo, Democratic Republic of the",1
34,Namibia,1
160,Timor-Leste,1
130,Costa Rica,1
64,"Congo, Republic of the",1
47,Madagascar,1
