id,country,pop_growth_rate
170,Lebanon,9.37
61,Zimbabwe,4.36
42,South Sudan,4.12
112,Jordan,3.86
166,Qatar,3.58
100,Malawi,3.33
22,Niger,3.28
147,Burundi,3.28
81,Uganda,3.24
17,Libya,3.08
75,Burkina Faso,3.05
24,Mali,3
206,Gaza Strip,2.91
27,Ethiopia,2.89
78,Western Sahara,2.89
39,Zambia,2.88
102,Benin,2.81
31,Tanzania,2.8
23,Angola,2.78
50,Yemen,2.72
115,United Arab Emirates,2.71
126,Togo,2.71
149,Rwanda,2.63
79,Guinea,2.63
47,Madagascar,2.62
54,Cameroon,2.6
186,Turks and Caicos Islands,2.58
146,Equatorial Guinea,2.54
104,Liberia,2.52
11,"Congo, Democratic Republic of the",2.5
188,Bahrain,2.49
88,Senegal,2.48
32,Nigeria,2.47
35,Mozambique,2.45
160,Timor-Leste,2.44
220,British Virgin Islands,2.36
119,Sierra Leone,2.33
101,Eritrea,2.3
41,Afghanistan,2.29
29,Mauritania,2.26
151,Djibouti,2.23
59,Iraq,2.23
167,"Gambia, The",2.23
82,Ghana,2.19
211,Cayman Islands,2.14
45,Central African Republic,2.13
49,Kenya,2.11
144,Solomon Islands,2.07
71,Oman,2.06
227,Anguilla,2.06
164,Vanuatu,2.01
172,West Bank,1.99
69,Cote d'Ivoire,1.96
77,Gabon,1.94
64,"Congo, Republic of the",1.94
138,Guinea-Bissau,1.93
192,Singapore,1.92
152,Belize,1.92
21,Chad,1.92
185,Sao Tome and Principe,1.89
10,Algeria,1.88
180,Comoros,1.87
107,Guatemala,1.86
30,Egypt,1.84
55,Papua New Guinea,1.84
94,Nepal,1.82
73,Philippines,1.81
16,Sudan,1.78
96,Tajikistan,1.75
44,Somalia,1.75
103,Honduras,1.74
217,Marshall Islands,1.72
158,Kuwait,1.7
173,Brunei,1.65
90,Cambodia,1.63
28,Bolivia,1.6
95,Bangladesh,1.6
84,Laos,1.59
236,Sint Maarten,1.51
36,Pakistan,1.49
13,Saudi Arabia,1.49
171,Cyprus,1.48
67,Malaysia,1.47
154,Israel,1.46
156,New Caledonia,1.42
33,Venezuela,1.42
176,Cabo Verde,1.39
74,Ecuador,1.37
19,Mongolia,1.37
218,Aruba,1.36
118,Panama,1.35
48,Botswana,1.26
132,Dominican Republic,1.25
7,India,1.25
201,Antigua and Barbuda,1.25
130,Costa Rica,1.24
18,Iran,1.22
14,Mexico,1.21
120,Ireland,1.2
60,Paraguay,1.19
68,Norway,1.19
187,Kiribati,1.18
9,Kazakhstan,1.17
53,Turkmenistan,1.14
159,Swaziland,1.14
137,Bhutan,1.13
197,Northern Mariana Islands,1.13
37,Turkey,1.12
179,Luxembourg,1.12
92,Suriname,1.12
222,Christmas Island,1.11
6,Australia,1.09
148,Haiti,1.08
26,Colombia,1.07
87,Kyrgyzstan,1.04
40,Burma,1.03
58,Morocco,1.02
98,Nicaragua,1.02
66,Vietnam,1
20,Peru,0.99
113,Azerbaijan,0.99
175,French Polynesia,0.97
8,Argentina,0.95
15,Indonesia,0.95
57,Uzbekistan,0.93
93,Tunisia,0.92
229,San Marino,0.87
161,"Bahamas, The",0.87
199,Seychelles,0.87
122,Sri Lanka,0.86
38,Chile,0.84
76,New Zealand,0.83
237,Macau,0.83
219,Liechtenstein,0.82
52,Spain,0.81
225,Jersey,0.81
5,Brazil,0.8
194,Isle of Man,0.8
238,Tuvalu,0.8
56,Sweden,0.79
136,Switzerland,0.78
212,Saint Kitts and Nevis,0.78
3,United States,0.77
2,Canada,0.76
157,Fiji,0.7
168,Jamaica,0.69
34,Namibia,0.67
181,Mauritius,0.66
108,Iceland,0.65
178,Samoa,0.59
240,Nauru,0.56
80,United Kingdom,0.54
99,"Korea, North",0.53
232,Bermuda,0.52
207,Grenada,0.5
183,Faroe Islands,0.49
226,Montserrat,0.48
43,France,0.45
4,China,0.44
195,Guam,0.44
135,Netherlands,0.42
184,Hong Kong,0.41
198,Palau,0.37
228,Guernsey,0.36
51,Thailand,0.35
193,Saint Lucia,0.35
142,Lesotho,0.34
221,Wallis and Futuna,0.33
202,Barbados,0.33
208,Malta,0.33
72,Italy,0.3
145,Albania,0.3
209,"Saint Helena, Ascension, and Tristan da Cunha",0.27
153,El Salvador,0.27
91,Uruguay,0.26
243,Gibraltar,0.25
139,Taiwan,0.25
134,Denmark,0.22
189,Dominica,0.22
150,Macedonia,0.21
196,Andorra,0.17
116,Czech Republic,0.17
109,"Korea, South",0.16
111,Portugal,0.12
190,Tonga,0.09
250,Monaco,0.06
65,Finland,0.05
141,Belgium,0.05
131,Slovakia,0.03
12,Greenland,0.02
114,Austria,0.01
97,Greece,0.01
165,Falkland Islands (Islas Malvinas),0.01
235,Norfolk Island,0.01
252,Holy See (Vatican City),0
241,Cocos (Keeling) Islands,0
234,Pitcairn Islands,0
242,Tokelau,-0.01
125,Svalbard,-0.03
1,Russia,-0.03
213,Niue,-0.03
210,Maldives,-0.09
70,Poland,-0.11
85,Guyana,-0.11
174,Trinidad and Tobago,-0.11
121,Georgia,-0.11
129,Bosnia and Herzegovina,-0.11
127,Croatia,-0.12
143,Armenia,-0.13
62,Japan,-0.13
106,Cuba,-0.14
63,Germany,-0.18
86,Belarus,-0.19
110,Hungary,-0.21
155,Slovenia,-0.23
83,Romania,-0.29
204,Saint Vincent and the Grenadines,-0.29
123,Lithuania,-0.29
216,American Samoa,-0.35
191,"Micronesia, Federated States of",-0.42
117,Serbia,-0.46
25,South Africa,-0.48
162,Montenegro,-0.49
182,Virgin Islands,-0.56
124,Latvia,-0.62
46,Ukraine,-0.64
163,Puerto Rico,-0.65
133,Estonia,-0.68
105,Bulgaria,-0.83
214,Saint Pierre and Miquelon,-1.02
140,Moldova,-1.02
215,Cook Islands,-3
89,Syria,-9.73
