id,country,waterways
4,China,"110,000"
1,Russia,"102,000"
5,Brazil,"50,000"
66,Vietnam,"47,130"
3,United States,"41,009"
26,Colombia,"24,725"
15,Indonesia,"21,579"
11,"Congo, Democratic Republic of the","15,000"
7,India,"14,500"
40,Burma,"12,800"
8,Argentina,"11,000"
55,Papua New Guinea,"11,000"
28,Bolivia,"10,000"
20,Peru,"8,808"
32,Nigeria,"8,600"
43,France,"8,501"
95,Bangladesh,"8,370"
65,Finland,"8,000"
63,Germany,"7,467"
67,Malaysia,"7,200"
33,Venezuela,"7,100"
135,Netherlands,"6,237"
59,Iraq,"5,279"
84,Laos,"4,600"
16,Sudan,"4,068"
51,Thailand,"4,000"
9,Kazakhstan,"4,000"
70,Poland,"3,997"
90,Cambodia,"3,700"
30,Egypt,"3,500"
73,Philippines,"3,219"
80,United Kingdom,"3,200"
60,Paraguay,"3,100"
14,Mexico,"2,900"
45,Central African Republic,"2,800"
86,Belarus,"2,500"
72,Italy,"2,400"
99,"Korea, North","2,250"
39,Zambia,"2,250"
98,Nicaragua,"2,220"
56,Sweden,"2,052"
141,Belgium,"2,043"
6,Australia,"2,000"
24,Mali,"1,800"
62,Japan,"1,770"
83,Romania,"1,731"
46,Ukraine,"1,672"
110,Hungary,"1,622"
77,Gabon,"1,600"
91,Uruguay,"1,600"
109,"Korea, South","1,600"
68,Norway,"1,577"
74,Ecuador,"1,500"
23,Angola,"1,300"
79,Guinea,"1,300"
53,Turkmenistan,"1,300"
82,Ghana,"1,293"
136,Switzerland,"1,292"
41,Afghanistan,"1,200"
37,Turkey,"1,200"
92,Suriname,"1,200"
64,"Congo, Republic of the","1,120"
57,Uzbekistan,"1,100"
88,Senegal,"1,000"
52,Spain,"1,000"
107,Guatemala,990
69,Cote d'Ivoire,980
120,Ireland,956
89,Syria,900
18,Iran,850
152,Belize,825
119,Sierra Leone,800
118,Panama,800
127,Croatia,785
130,Costa Rica,730
100,Malawi,700
116,Czech Republic,664
2,Canada,636
87,Kyrgyzstan,600
47,Madagascar,600
117,Serbia,587
19,Mongolia,580
140,Moldova,558
105,Bulgaria,470
103,Honduras,465
35,Mozambique,460
123,Lithuania,441
134,Denmark,400
167,"Gambia, The",390
114,Austria,358
133,Estonia,335
85,Guyana,330
124,Latvia,300
22,Niger,300
106,Cuba,240
111,Portugal,210
173,Brunei,209
157,Fiji,203
96,Tajikistan,200
131,Slovakia,172
122,Sri Lanka,160
102,Benin,150
126,Togo,50
145,Albania,41
179,Luxembourg,37
219,Liechtenstein,28
97,Greece,6
187,Kiribati,5
